agency,mode,n_ods,country,operator,status,source_ids,source_titles,source_urls,notes,audit_files
Hamburger Verkehrsverbund (hvv),Rail,5,DE,HVV,ready_to_acquire,DACH_HVV,hvv Gemeinschaftstarif and line-by-line tariff assessment files,https://www.hvv.de/de/gemeinschaftstarif,Current prices and directional line assessment files found; needs boarding/alighting and route mapping.,dach.json
OCEdefault,Rail,5,"CH,DE,ES,FR",SNCF,published_partial,SW_SNCF_TGV|SW_SNCF_IC|SW_SNCF_BASE|SW_ALEOP_ECO,"Tarifs TGV INOUI et OUIGO — official OD fare bounds|Tarifs Intercités — daytime and overnight OD fare bounds|SNCF Tarifs voyageurs, volume 6 — base fare coefficients and product rules|Aléop Eco — TER and specified express coaches",https://ressources.data.sncf.com/explore/dataset/tarifs-tgv-inoui-ouigo/export/|https://ressources.data.sncf.com/explore/dataset/tarifs-intercites/table/|https://www.tgvinoui.sncf/file/tarifs-voyageurs|https://aleop.paysdelaloire.fr/tarifs/billet-aleop-eco,"Operator alias may cover TGV, Intercités, TER and international services. National published bounds and limited base rules exist; classify services and join UIC stations. Alias alone is not tariff identity.",southwest.json
Société Nationale des Chemins de fer Français,Bus,5,"CH,FR",SNCF,published_partial,SW_SNCF_BASE|SW_ALEOP_ECO,"SNCF Tarifs voyageurs, volume 6 — base fare coefficients and product rules|Aléop Eco — TER and specified express coaches",https://www.tgvinoui.sncf/file/tarifs-voyageurs|https://aleop.paysdelaloire.fr/tarifs/billet-aleop-eco,Region and actual route/product must be identified. SNCF national coefficients are not universal TER fares; replacement buses may retain the associated rail ticket. Aléop source covers only its specified regional services.,southwest.json
Bravo (Arriva),Bus,5,"BE,NL",Arriva,identity_unresolved,NW_NDOV_BUS,NDOV bus tariff bundles and zones,https://data.ndovloket.nl/tarieven/,The agency/country combination is inconsistent; resolve its GTFS feed and concession before applying a tariff.,northwest_fallback
Thameslink,Rail,5,UK,DFTO,access_required,NW_GB_RSP|NW_GB_SPEC,"RDG industry fares, routeing and timetable data|RDG Fares and Associated Data Feed Specification RSPS5045",https://www.raildeliverygroup.com/our-services/essential-services/rail-data.html|https://www.raildeliverygroup.com/files/Publications/services/rsp/RSPS504502-00FaresandAssociatedDataFeedInterfaceSpecification.pdf,"Use the shared GB fares, restrictions and routeing delivery rather than an operator-page scraper.",northwest_fallback
Northern,Bus,5,UK,DFTO,access_required,NW_GB_RSP|NW_GB_SPEC,"RDG industry fares, routeing and timetable data|RDG Fares and Associated Data Feed Specification RSPS5045",https://www.raildeliverygroup.com/our-services/essential-services/rail-data.html|https://www.raildeliverygroup.com/files/Publications/services/rsp/RSPS504502-00FaresandAssociatedDataFeedInterfaceSpecification.pdf,"Use the shared GB fares, restrictions and routeing delivery rather than an operator-page scraper. This bus-labelled row may be replacement transport; verify ticket acceptance and service identity.",northwest_fallback
agilis,Rail,4,DE,agilis,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf,"DTV participation/corpus provides a starting point; select land/local tariff by route, product and travel date. No OD coverage test yet.",dach.json
DB ZugBus Regionalverkehr Alb-Bodensee GmbH,Bus,4,"CH,DE",DB,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES|DACH_BWTARIF,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs|bwtarif Anlage 8, single-fare price table",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf|https://www.bwegt.de/fileadmin/media/PDF/bwtarif-Dokumente/bwtarif_Anlage-8-Preisliste-Relationstarif_14-12-2025.pdf,Tariff links are conditional leads: identify ordinary bus versus rail replacement and actual local jurisdiction before pricing.,dach.json
DB Regio AG Baden-Württemberg,Rail,4,"CH,DE,FR",DB,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES|DACH_BWTARIF,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs|bwtarif Anlage 8, single-fare price table",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf|https://www.bwegt.de/fileadmin/media/PDF/bwtarif-Dokumente/bwtarif_Anlage-8-Preisliste-Relationstarif_14-12-2025.pdf,"DTV participation/corpus provides a starting point; select land/local tariff by route, product and travel date. No OD coverage test yet.",dach.json
DB Regio AG Mitte Region Südwest,Rail,4,"DE,LU",DB,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES|DACH_VRN,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs|VRN July 2026 price table and zone-map catalogue",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf|https://www.vrn.de/mam/tickets/tarif/dokumente/2026/vrn_fahrpreistabelle_7_2026.pdf,"DTV participation/corpus provides a starting point; select land/local tariff by route, product and travel date. No OD coverage test yet.",dach.json
DB Regio AG Nord,Bus,4,DE,DB,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES|DACH_NIEDERSACHSEN|DACH_HVV,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs|Niedersachsentarif price matrix|hvv Gemeinschaftstarif and line-by-line tariff assessment files",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf|https://www.niedersachsentarif.de/wp-content/uploads/2025/12/Preismatrix_Niedersachsentarif_gueltig_ab_14.12.2025.pdf|https://www.hvv.de/de/gemeinschaftstarif,Tariff links are conditional leads: identify ordinary bus versus rail replacement and actual local jurisdiction before pricing.,dach.json
"Bilmanbus,S.L.",Bus,4,ES,Bilman Bus,retail_only,SW_BILMAN,Bilman Bus official retail and ticket conditions,https://web.bilmanbus.es/tu-billete/,Official retail and rules found; ordinary OD tariff table not verified. Retail presence does not establish yield management.,southwest.json
Trains Express Régionaux,Bus,4,"CH,DE,FR,LU",SNCF,published_partial,SW_SNCF_BASE|SW_ALEOP_ECO,"SNCF Tarifs voyageurs, volume 6 — base fare coefficients and product rules|Aléop Eco — TER and specified express coaches",https://www.tgvinoui.sncf/file/tarifs-voyageurs|https://aleop.paysdelaloire.fr/tarifs/billet-aleop-eco,Region and actual route/product must be identified. SNCF national coefficients are not universal TER fares; replacement buses may retain the associated rail ticket. Aléop source covers only its specified regional services.,southwest.json
Grand Central,Rail,4,UK,Grand Central,access_required,NW_GB_RSP|NW_GB_SPEC,"RDG industry fares, routeing and timetable data|RDG Fares and Associated Data Feed Specification RSPS5045",https://www.raildeliverygroup.com/our-services/essential-services/rail-data.html|https://www.raildeliverygroup.com/files/Publications/services/rsp/RSPS504502-00FaresandAssociatedDataFeedInterfaceSpecification.pdf,"Use the shared GB fares, restrictions and routeing delivery rather than an operator-page scraper.",northwest_fallback
South Western Railway,Rail,4,UK,DFTO,access_required,NW_GB_RSP|NW_GB_SPEC,"RDG industry fares, routeing and timetable data|RDG Fares and Associated Data Feed Specification RSPS5045",https://www.raildeliverygroup.com/our-services/essential-services/rail-data.html|https://www.raildeliverygroup.com/files/Publications/services/rsp/RSPS504502-00FaresandAssociatedDataFeedInterfaceSpecification.pdf,"Use the shared GB fares, restrictions and routeing delivery rather than an operator-page scraper.",northwest_fallback
Oebb Personenverkehr AG Kundenservice,Rail,3,"AT,BE,CZ,DE,FR",ÖBB,published_partial,DACH_OBB_OD|DACH_OBB_Y_SAMPLE|DACH_OBB_RULES|DACH_OBB_NIGHT,"ÖBB published relation-price tables|ÖBB OD table, origins Y: verified sample shard|Handbuch für Reisen mit den ÖBB in Österreich|ÖBB night trains in Germany, fare ranges",https://www.oebb.at/static/tarife/de/relationspreise/index.html|https://static.web.oebb.at/relationspreise/14122025/y.pdf|https://www.oebb.at/static/tarife/de/handbuch_fuer_reisen_mit_den_oebb_in_oesterreich/index.html|https://www.oebb.at/static/tarife/de/relationspreise/Resources/pdf/3203138955.pdf,"Domestic standard-fare source ready for acquisition. International through fares, local Verbund fares and inventory products need separate resolution.",dach.json
NMBS/SNCB,Bus,3,BE,SNCB,published_partial,NW_SNCB_PRICES,SNCB Tarifs 01.02.2026 with second supplement 01.07.2026,https://www.belgiantrain.be/-/media/files/pdf/productfiches/tarifs/version-actuelle/fr/tarifs-version-actuelle.ashx?v=866bc1f2b86a4143814e83fc0c4dba50,The 2026 price-by-tariff-km tables are public; authoritative OD tariff kilometres are still required. Verify whether the row is rail replacement before applying the rail ticket.,northwest_fallback
Eurobahn,Rail,3,"DE,NL",Eurobahn,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES|DACH_NRW|DACH_WESTFALEN|DACH_VRR,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs|NRW-Tarif 2026 scope, products and eezy rules|WestfalenTarif ticket prices and tariff structure|VRR 2026 price table",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf|https://infoportal.mobil.nrw/nrw-tarif/nrw-tarif-im-ueberblick.html|https://www.westfalentarif.de/tickets-abonnements/ticketpreise|https://www.vrr.de/fileadmin/user_upload/pdf/service/downloads/Weitere_Broschueren_und_Tarifinformationen/VRR_Preise_2026.pdf,"DTV participation/corpus provides a starting point; select land/local tariff by route, product and travel date. No OD coverage test yet.",dach.json
DB Fernverkehr AG,Bus,3,"CH,CZ,DE",DB,published_partial,DACH_DB_AGB|DACH_DB_FLEX,DB national/international conditions and supplementary price list|DB Flexpreis product and price determinants,https://www.bahn.de/agb|https://www.bahn.de/angebot/sparpreis-flexpreis/flexpreis,"Determine whether replacement, marketed coach or separate service; DB rail base fare is not proven for this bus row.",dach.json
DB Regio AG Nord,Rail,3,DE,DB,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES|DACH_NIEDERSACHSEN|DACH_HVV,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs|Niedersachsentarif price matrix|hvv Gemeinschaftstarif and line-by-line tariff assessment files",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf|https://www.niedersachsentarif.de/wp-content/uploads/2025/12/Preismatrix_Niedersachsentarif_gueltig_ab_14.12.2025.pdf|https://www.hvv.de/de/gemeinschaftstarif,"DTV participation/corpus provides a starting point; select land/local tariff by route, product and travel date. No OD coverage test yet.",dach.json
OnniBus,Bus,3,FI,Koiviston Auto,access_required,NORDIC_ONNIBUS_API,OnniBus booking API v2.0.0,https://booking-api-mg.onnibus.com/store/apis/info?name=rest.booking-api.onnibus.com&provider=admin&version=2.0.0,Documented dynamic-fare API requires access; Koiviston group label is not a common fare system. OnniBus documents a journey-search/booking API; bearer and channel credentials are required.,nordic_details.json|northwest_fallback
Mitteldeutsche Regiobahn,Rail,3,DE,Transdev,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES|DACH_VMS|DACH_VVO,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs|VMS fare overview and current tariff documents|VVO current fare table",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf|https://www.vms.de/tarif-und-tickets/tickets/alle-tickets/|https://www.vvo-online.de/doc/VVO-Kleingedrucktes-Anlage-7-Preistabelle-Stand-01-04-2026.pdf,"DTV participation/corpus provides a starting point; select land/local tariff by route, product and travel date. No OD coverage test yet.",dach.json
CAR_HDF_59_2,Bus,3,FR,Hauts-de-France Mobilités,not_verified,SW_HDF,Hauts-de-France Nord coach tariff pages — unresolved price validity,https://arcenciel.hautsdefrance.fr/arcenciel2/ba/TARIFICATION,"Official sector tariff portal found, direct fetch failed; indexed EUR 1/EUR 2 notices conflict. Current document and sector/route join needed.",southwest.json
East Midlands Railway,Bus,3,UK,EMR,access_required,NW_GB_RSP|NW_GB_SPEC,"RDG industry fares, routeing and timetable data|RDG Fares and Associated Data Feed Specification RSPS5045",https://www.raildeliverygroup.com/our-services/essential-services/rail-data.html|https://www.raildeliverygroup.com/files/Publications/services/rsp/RSPS504502-00FaresandAssociatedDataFeedInterfaceSpecification.pdf,"Use the shared GB fares, restrictions and routeing delivery rather than an operator-page scraper. This bus-labelled row may be replacement transport; verify ticket acceptance and service identity.",northwest_fallback
Trenord,Rail,3,IT,Trenord,ready_to_acquire,SW_TRENORD,Trenord complete tariff table — September 2026,https://www.trenord.it/fileadmin/contenuti/TRENORD/4-Info_e_assistenza/Informazioni_utili/Condizioni_di_trasporto/Condizioni_di_trasporto_IN_VIGORE/AvvisoA3Trenord_2026_179_Tariffario.pdf,Complete tariff table valid 1 September 2026 found; exact ordinary OD prices still require official tariff distances and exceptions.,southwest.json
RRReis,Bus,3,NL,RRReis,published_partial,NW_NDOV_BUS|NW_RRREIS_FLEX,NDOV bus tariff bundles and zones|RRReis flex fares,https://data.ndovloket.nl/tarieven/|https://www.rrreis.nl/flex,Resolve the concession and fixed-route/flex product before selecting a fare table.,northwest_fallback
SBB Infrastruktur AG Bahnersatz,Bus,2,CH,SBB,published_partial,DACH_SWISS_OSDM|DACH_SWISS_RULES|DACH_SWISS_T604|DACH_SWISS_OJP,"Beta OSDM Offline Switzerland fare file|Alliance SwissPass tariffs index: T600/T601/T603|T604: concessionaire tariff distances and prices, current rules|Beta OJP Fare: NOVA price-query interface",https://data.opentransportdata.swiss/en/dataset/osdm-offline|https://www.allianceswisspass.ch/de/tarife-vorschriften/uebersicht|https://www.allianceswisspass.ch/de/asp/Downloads?download=2669|https://opentransportdata.swiss/it/cookbook/open-journey-planner-ojp/ojp-fare/,Bahnersatz: match to original ticket/service before attributing fare; no independent bus price verified.,dach.json
Ceske Drahy,Rail,2,"AT,CZ,HU,SK",ČD,published_partial,EAST_CD_DOMESTIC_2025|EAST_CD_INTERNATIONAL_2025,"ČD domestic tariff, amendment 4, including kilometre fare table|ČD TPPM — actual NRT Czech-portion price table and bilateral products",https://www.cd.cz/assets/info/cim-se-ridime/tarif-cd_zmena-3.pdf|https://www.cd.cz/assets/info/cim-se-ridime/tppm_1.pdf,Domestic prices and Czech international NRT portion published. Full through fare needs product/channel and foreign portions; tariff kilometres per official timetable.,east.json
LEO Express,Rail,2,"CZ,DE",Leo Express,published_partial,EAST_LEO_GLOBAL_RULES|EAST_LEO_TENDERS_MATRIX,Leo Express Global/s.r.o. commercial tariff rules|Leo Express Tenders basic OD fare matrix,https://www.leoexpress.com/assets/c8286d4d-bff3-4363-913b-3483d8372a70/45c47e6e-b309-4bc5-b509-0c4923116a78/1_Tarify_EN_30_05_2024.pdf|https://assets-us-01.kc-usercontent.com/c8286d4d-bff3-4363-913b-3483d8372a70/a0c119b9-dbe0-4108-ad3c-6fdb56e90f01/TD_POP_a_MOP_LET_tab_V_15_12_24_Cenik_LET_static.pdf,Commercial/global versus regional LET service entity not resolved from alias. LET matrix must not price commercial long-distance services.,east.json
Leo Express,Rail,2,"CZ,DE,PL",Leo Express,published_partial,EAST_LEO_GLOBAL_RULES|EAST_LEO_TENDERS_MATRIX,Leo Express Global/s.r.o. commercial tariff rules|Leo Express Tenders basic OD fare matrix,https://www.leoexpress.com/assets/c8286d4d-bff3-4363-913b-3483d8372a70/45c47e6e-b309-4bc5-b509-0c4923116a78/1_Tarify_EN_30_05_2024.pdf|https://assets-us-01.kc-usercontent.com/c8286d4d-bff3-4363-913b-3483d8372a70/a0c119b9-dbe0-4108-ad3c-6fdb56e90f01/TD_POP_a_MOP_LET_tab_V_15_12_24_Cenik_LET_static.pdf,Same operator label covers different fare systems; actual routes and service entity determine whether matrix applies.,east.json
MEGABUSTRANS s.r.o.,Bus,2,CZ,MEGABUSTRANS,not_verified,,,,"No official fare source located. Official Slovak timetable register search identifies MEGABUSTRANS on international services, but model route and tariff are unresolved; inspect GTFS route and CIS/JISCD permit.",east.json
FlixBus,Bus,2,"BE,CZ,DE,DK,FR",FlixBus,access_required,NW_FLIXBUS|NW_FLIX_PARTNER,FlixBus general carriage conditions|FlixBus reseller access,https://global.flixbus.com/terms-and-conditions-of-carriage|https://global.flixbus.com/company/partners/travel-agencies-and-ticket-outlets,Quota-based fare brackets; no public complete monetary matrix verified. Partner access is the official lead.,northwest_fallback
Eurobahn,Bus,2,"DE,NL",Eurobahn,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES|DACH_NRW|DACH_WESTFALEN|DACH_VRR,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs|NRW-Tarif 2026 scope, products and eezy rules|WestfalenTarif ticket prices and tariff structure|VRR 2026 price table",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf|https://infoportal.mobil.nrw/nrw-tarif/nrw-tarif-im-ueberblick.html|https://www.westfalentarif.de/tickets-abonnements/ticketpreise|https://www.vrr.de/fileadmin/user_upload/pdf/service/downloads/Weitere_Broschueren_und_Tarifinformationen/VRR_Preise_2026.pdf,Tariff links are conditional leads: identify ordinary bus versus rail replacement and actual local jurisdiction before pricing.,dach.json
DB Regio Stuttgart GmbH,Rail,2,DE,DB,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES|DACH_BWTARIF,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs|bwtarif Anlage 8, single-fare price table",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf|https://www.bwegt.de/fileadmin/media/PDF/bwtarif-Dokumente/bwtarif_Anlage-8-Preisliste-Relationstarif_14-12-2025.pdf,"DTV participation/corpus provides a starting point; select land/local tariff by route, product and travel date. No OD coverage test yet.",dach.json
Deutsche Bahn AG,Rail,2,DE,DB,identity_unresolved,DACH_DB_AGB|DACH_DTV_RULES,"DB national/international conditions and supplementary price list|Deutschlandtarif Teil A: scope, precedence and participating EVUs",https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf,Generic DB label leaves long-distance versus regional service unresolved; inspect train category and route.,dach.json
FlixTrain-de,Rail,2,"CH,DE",FlixTrain,published_partial,DACH_FLIXTRAIN,FlixTrain tariff provisions and OD minimum/maximum lists,https://www.flixtrain.de/tarifbestimmungen,"Published OD min/max bounds; 2024 edition still linked. Current available price, inventory and 2026 route match unresolved.",dach.json
Abellio Rail Mitteldeutschland GmbH,Rail,2,DE,Abellio Rail Mitteldeutschland,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf,"DTV participation/corpus provides a starting point; select land/local tariff by route, product and travel date. No OD coverage test yet.",dach.json
Flixbus Polska sp.o.o,Bus,2,"CZ,EE,LT,LV,PL",FlixBus,access_required,NW_FLIXBUS|NW_FLIX_PARTNER,FlixBus general carriage conditions|FlixBus reseller access,https://global.flixbus.com/terms-and-conditions-of-carriage|https://global.flixbus.com/company/partners/travel-agencies-and-ticket-outlets,Quota-based fare brackets; no public complete monetary matrix verified. Partner access is the official lead.,northwest_fallback
DB Regio AG Bayern,Bus,2,DE,DB,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES|DACH_MVV,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs|MVV current ticket and price overview",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf|https://www.mvv-muenchen.de/tickets-abos-preise/rund-um-tickets/ticket-und-preisuebersicht,Tariff links are conditional leads: identify ordinary bus versus rail replacement and actual local jurisdiction before pricing.,dach.json
Schwäbische Alb-Bahn,Rail,2,DE,SAB,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES|DACH_BWTARIF,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs|bwtarif Anlage 8, single-fare price table",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf|https://www.bwegt.de/fileadmin/media/PDF/bwtarif-Dokumente/bwtarif_Anlage-8-Preisliste-Relationstarif_14-12-2025.pdf,"DTV participation/corpus provides a starting point; select land/local tariff by route, product and travel date. No OD coverage test yet.",dach.json
vlexx,Rail,2,DE,NETINERA,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf,"DTV participation/corpus provides a starting point; select land/local tariff by route, product and travel date. No OD coverage test yet.",dach.json
Bus6,Bus,2,DE,Unresolved German bus operator,identity_unresolved,,,,"Generic feed label: recover original agency ID, URL and trip/route evidence before tariff selection.",dach.json
Nebenbahn Gaildorf-Untergröningen,Rail,2,DE,Nebenbahn Gaildorf-Untergröningen,identity_unresolved,,,,Resolve historical-looking agency label against original GTFS agency URL and actual trips; current passenger fare not established.,dach.json
Bus8,Bus,2,DE,Unresolved German bus operator,identity_unresolved,,,,"Generic feed label: recover original agency ID, URL and trip/route evidence before tariff selection.",dach.json
NVBW,Rail,2,"CH,DE,FR",NVBW,identity_unresolved,DACH_BWTARIF,"bwtarif Anlage 8, single-fare price table",https://www.bwegt.de/fileadmin/media/PDF/bwtarif-Dokumente/bwtarif_Anlage-8-Preisliste-Relationstarif_14-12-2025.pdf,Regional authority/feed label cannot identify a carrier or one tariff; recover service and stop scope.,dach.json
RMV,Bus,2,DE,RMV,published_partial,DACH_RMV,"RMV fare rules, regional matrices and 2026 price list",https://www.rmv.de/c/de/tickets/regeln/befoerderungsbedingungen-tarifbestimmungen/tarifbestimmungen,Prices and matrix architecture found; acquire matrices and resolve stop/route tariff IDs.,dach.json
rab,Bus,2,"CH,DE",DB,published_partial,DACH_DTV_PRICES|DACH_DTV_DISTANCES|DACH_DTV_RULES|DACH_BWTARIF,"Deutschlandtarif Teil J: Preisliste|Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences|Deutschlandtarif Teil A: scope, precedence and participating EVUs|bwtarif Anlage 8, single-fare price table",https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf|https://www.bahn.de/agb|https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf|https://www.bwegt.de/fileadmin/media/PDF/bwtarif-Dokumente/bwtarif_Anlage-8-Preisliste-Relationstarif_14-12-2025.pdf,Tariff links are conditional leads: identify ordinary bus versus rail replacement and actual local jurisdiction before pricing.,dach.json
MittelSachsen,Bus,2,"CZ,DE",VMS,published_partial,DACH_VMS,VMS fare overview and current tariff documents,https://www.vms.de/tarif-und-tickets/tickets/alle-tickets/,Current local price and zone sources found; confirm actual agency route and any cross-border product.,dach.json
OCEdefault,Bus,2,"CH,FR,LU",SNCF,published_partial,SW_SNCF_BASE|SW_ALEOP_ECO,"SNCF Tarifs voyageurs, volume 6 — base fare coefficients and product rules|Aléop Eco — TER and specified express coaches",https://www.tgvinoui.sncf/file/tarifs-voyageurs|https://aleop.paysdelaloire.fr/tarifs/billet-aleop-eco,Region and actual route/product must be identified. SNCF national coefficients are not universal TER fares; replacement buses may retain the associated rail ticket. Aléop source covers only its specified regional services.,southwest.json
